-- season: MID2
-- source: crafted
-- min quality: 4
-- min item level: 240
-- Gear the Midnight crafting recipes make, as the game's profession windows list
-- it. Made in game with scripts/wow/WGA_LootDump (/wgacrafts) on 2026-09-24 and
-- pasted here unedited, except the Engineering rows (see below). No character had the
-- Midnight Engineering skill. Each season: run /wgacrafts on each alt, replace this file.
-- Read by scripts/dungeon-items-sql.js, which keeps the epic, item level 240+ rows:
-- that drops leveling gear, cosmetic cloaks, fishing hats, the lower rare tier and
-- the Thalassian Competitor's PvP sets (Kat, 2026-09-24).
-- Columns: profession | recipe | item id | item name | slot | armor or weapon type
Blacksmithing | Spellbreaker's March | 237828 | Spellbreaker's March | Feet | Plate
Blacksmithing | Spellbreaker's Shelter | 237829 | Spellbreaker's Shelter | Chest | Plate
Blacksmithing | Spellbreaker's Girdle | 237830 | Spellbreaker's Girdle | Waist | Plate
Blacksmithing | Spellbreaker's Rebuke | 237831 | Spellbreaker's Rebuke | Off Hand | Shields
Blacksmithing | Spellbreaker's Cover | 237832 | Spellbreaker's Cover | Head | Plate
Blacksmithing | Spellbreaker's Legguards | 237833 | Spellbreaker's Legguards | Legs | Plate
Blacksmithing | Spellbreaker's Bracers | 237834 | Spellbreaker's Bracers | Wrist | Plate
Blacksmithing | Spellbreaker's Mantle | 237835 | Spellbreaker's Mantle | Shoulder | Plate
Blacksmithing | Spellbreaker's Resolve | 237836 | Spellbreaker's Resolve | Hands | Plate
Blacksmithing | Farstrider's Mercy | 237837 | Farstrider's Mercy | One-Hand | Daggers
Blacksmithing | Magister's Ritual Knife | 237838 | Magister's Ritual Knife | One-Hand | Daggers
Blacksmithing | Spellbreaker's Blade | 237839 | Spellbreaker's Blade | One-Hand | One-Handed Swords
Blacksmithing | Spellbreaker's Warglaive | 237840 | Spellbreaker's Warglaive | One-Hand | Warglaives
Blacksmithing | Spellbreaker's Ultimatum | 237841 | Spellbreaker's Ultimatum | One-Hand | One-Handed Maces
Blacksmithing | Bloomforged Greataxe | 237842 | Bloomforged Greataxe | Two-Hand | Two-Handed Axes
Blacksmithing | Magister's Mana Sword | 237843 | Magister's Mana Sword | One-Hand | One-Handed Swords
Blacksmithing | Magister's Cleaver | 237844 | Magister's Cleaver | One-Hand | One-Handed Axes
Blacksmithing | Bloomforged Claw | 237845 | Bloomforged Claw | One-Hand | Fist Weapons
Blacksmithing | Blood Knight's Warblade | 237846 | Blood Knight's Warblade | Two-Hand | Two-Handed Swords
Blacksmithing | Blood Knight's Impetus | 237847 | Blood Knight's Impetus | Two-Hand | Polearms
Blacksmithing | Blood Knight's Mercy | 237848 | Blood Knight's Mercy | Two-Hand | Two-Handed Maces
Blacksmithing | Magister's Valediction | 237849 | Magister's Valediction | Two-Hand | Two-Handed Maces
Blacksmithing | Farstrider's Chopper | 237850 | Farstrider's Chopper | One-Hand | One-Handed Axes
Blacksmithing | Thalassian Competitor's Plate Breastplate | 237901 | Thalassian Competitor's Plate Breastplate | Chest | Plate
Blacksmithing | Thalassian Competitor's Plate Sabatons | 237902 | Thalassian Competitor's Plate Sabatons | Feet | Plate
Blacksmithing | Thalassian Competitor's Plate Gauntlets | 237903 | Thalassian Competitor's Plate Gauntlets | Hands | Plate
Blacksmithing | Thalassian Competitor's Plate Helm | 237904 | Thalassian Competitor's Plate Helm | Head | Plate
Blacksmithing | Thalassian Competitor's Plate Greaves | 237905 | Thalassian Competitor's Plate Greaves | Legs | Plate
Blacksmithing | Thalassian Competitor's Plate Pauldrons | 237906 | Thalassian Competitor's Plate Pauldrons | Shoulder | Plate
Blacksmithing | Thalassian Competitor's Plate Waistguard | 237907 | Thalassian Competitor's Plate Waistguard | Waist | Plate
Blacksmithing | Thalassian Competitor's Plate Armguards | 237908 | Thalassian Competitor's Plate Armguards | Wrist | Plate
Blacksmithing | Thalassian Competitor's Pickaxe | 237909 | Thalassian Competitor's Pickaxe | One-Hand | One-Handed Axes
Blacksmithing | Thalassian Competitor's Knife | 237910 | Thalassian Competitor's Knife | One-Hand | Daggers
Blacksmithing | Thalassian Competitor's Maxim | 237911 | Thalassian Competitor's Maxim | One-Hand | One-Handed Maces
Blacksmithing | Thalassian Competitor's Bulwark | 237912 | Thalassian Competitor's Bulwark | Off Hand | Shields
Blacksmithing | Thalassian Competitor's Splitter | 237913 | Thalassian Competitor's Splitter | One-Hand | One-Handed Axes
Blacksmithing | Thalassian Competitor's Skewer | 237914 | Thalassian Competitor's Skewer | One-Hand | Daggers
Blacksmithing | Thalassian Competitor's Greatsword | 237915 | Thalassian Competitor's Greatsword | Two-Hand | Two-Handed Swords
Blacksmithing | Thalassian Competitor's Sword | 237916 | Thalassian Competitor's Sword | One-Hand | One-Handed Swords
Blacksmithing | Blood-Tempered Greaves | 237917 | Blood-Tempered Greaves | Feet | Plate
Blacksmithing | Blood-Tempered Chestplate | 237918 | Blood-Tempered Chestplate | Chest | Plate
Blacksmithing | Blood-Tempered Greatbelt | 237919 | Blood-Tempered Greatbelt | Waist | Plate
Blacksmithing | Blood-Tempered Bulwark | 237920 | Blood-Tempered Bulwark | Off Hand | Shields
Blacksmithing | Blood-Tempered Basinet | 237921 | Blood-Tempered Basinet | Head | Plate
Blacksmithing | Blood-Tempered Leggings | 237922 | Blood-Tempered Leggings | Legs | Plate
Blacksmithing | Blood-Tempered Bracers | 237923 | Blood-Tempered Bracers | Wrist | Plate
Blacksmithing | Blood-Tempered Pauldrons | 237924 | Blood-Tempered Pauldrons | Shoulder | Plate
Blacksmithing | Blood-Tempered Gauntlets | 237925 | Blood-Tempered Gauntlets | Hands | Plate
Blacksmithing | Dawnforged Ritual Knife | 237926 | Dawnforged Ritual Knife | One-Hand | Daggers
Blacksmithing | Dawnforged Edge | 237927 | Dawnforged Edge | One-Hand | Daggers
Blacksmithing | Dawnforged Long Blade | 237928 | Dawnforged Long Blade | One-Hand | One-Handed Swords
Blacksmithing | Primalforged Knuckles | 237929 | Primalforged Knuckles | One-Hand | Fist Weapons
Blacksmithing | Dawnforged War Mace | 237930 | Dawnforged War Mace | Two-Hand | Two-Handed Maces
Blacksmithing | Dawnforged Splitter | 237931 | Dawnforged Splitter | One-Hand | One-Handed Axes
Blacksmithing | Primalforged Heavy Axe | 237932 | Primalforged Heavy Axe | Two-Hand | Two-Handed Axes
Tailoring | Elegant Artisan's Fishing Hat | 239638 | Elegant Artisan's Fishing Hat | Head | Miscellaneous
Tailoring | Bright Linen Fishing Hat | 239644 | Bright Linen Fishing Hat | Head | Miscellaneous
Tailoring | Martyr's Bindings | 239648 | Martyr's Bindings | Wrist | Cloth
Tailoring | Martyr's Waistwrap | 239649 | Martyr's Waistwrap | Waist | Cloth
Tailoring | Martyr's Mantle | 239650 | Martyr's Mantle | Shoulder | Cloth
Tailoring | Martyr's Leggings | 239651 | Martyr's Leggings | Legs | Cloth
Tailoring | Martyr's Crown | 239652 | Martyr's Crown | Head | Cloth
Tailoring | Martyr's Gloves | 239653 | Martyr's Gloves | Hands | Cloth
Tailoring | Martyr's Slippers | 239654 | Martyr's Slippers | Feet | Cloth
Tailoring | Martyr's Vestments | 239655 | Martyr's Vestments | Chest | Cloth
Tailoring | Adherent's Silken Shroud | 239656 | Adherent's Silken Shroud | Back | Cloth
Tailoring | Sunfire Bracers | 239657 | Sunfire Bracers | Wrist | Cloth
Tailoring | Sunfire Cloak | 239658 | Sunfire Cloak | Back | Cloth
Tailoring | Sunfire Treads | 239659 | Sunfire Treads | Feet | Cloth
Tailoring | Arcanoweave Bracers | 239660 | Arcanoweave Bracers | Wrist | Cloth
Tailoring | Arcanoweave Cloak | 239661 | Arcanoweave Cloak | Back | Cloth
