-- season: MID2
-- Mythic loot of the Midnight Season 2 M+ dungeons, as the Adventure Guide
-- lists it. Made in game with scripts/wow/WGA_LootDump (/wgaloot) on 2026-09-24
-- and pasted here unedited. Each season: run /wgaloot, replace this file.
-- Read by scripts/dungeon-items-sql.js, which keeps the gear rows only.
-- Columns: dungeon | boss | item id | item name | slot | armor or weapon type
Altar of Fangs | Rav'i | 273793 | Hydraspine Twinblade | One-Hand | Warglaives
Altar of Fangs | Rav'i | 273780 | Venom-Etched Crescent | One-Hand | Axe
Altar of Fangs | Rav'i | 273785 | Primordial Robe of Rites | Chest | Cloth
Altar of Fangs | Rav'i | 273775 | Hydra Scale Wristguards | Wrist | Mail
Altar of Fangs | Rav'i | 273777 | Poison-Proof Stompers | Feet | Plate
Altar of Fangs | Rav'i | 273795 | Coiled Fangstone | Trinket |
Altar of Fangs | Rav'i | 273796 | Vile Vial of Volatile Venom | Trinket |
-- Altar of Fangs / Rav'i: 7 rows
Altar of Fangs | The Writhing Coil | 273783 | Toxin-Coated Warstaff | Two-Hand | Staff
Altar of Fangs | The Writhing Coil | 273782 | Vile Writhefang Glaive | Two-Hand | Polearm
Altar of Fangs | The Writhing Coil | 273779 | Nocuous Focal Fang | Held In Off-hand |
Altar of Fangs | The Writhing Coil | 273781 | Strand of Warding Fangs | Neck |
Altar of Fangs | The Writhing Coil | 273774 | Snakeskin Spaulders | Shoulder | Leather
Altar of Fangs | The Writhing Coil | 273787 | Aged Interwoven Scaleplate | Chest | Plate
Altar of Fangs | The Writhing Coil | 273786 | Leggings of Entwined Serpents | Legs | Cloth
Altar of Fangs | The Writhing Coil | 273794 | Knot of Writhing Serpents | Trinket |
-- Altar of Fangs / The Writhing Coil: 8 rows
Altar of Fangs | Zul'jan | 270900 | Pattern: Snakeskin Lining | (no slot: not gear) |
Altar of Fangs | Zul'jan | 279211 | Pillar of the Fanged Altar | (no slot: not gear) |
Altar of Fangs | Zul'jan | 276804 | The Writhing Brood | (no slot: not gear) | Mount
Altar of Fangs | Zul'jan | 273778 | Polished Lightwood Channeler | One-Hand | Dagger
Altar of Fangs | Zul'jan | 275070 | Sharpened Lightwood Slasher | One-Hand | Dagger
Altar of Fangs | Zul'jan | 273784 | Ancestral Amani Recurve | Ranged | Bow
Altar of Fangs | Zul'jan | 273791 | Spare Speaker's Hood | Head | Leather
Altar of Fangs | Zul'jan | 273789 | Chestguard of Corroded Scales | Chest | Mail
Altar of Fangs | Zul'jan | 273773 | Handwraps of Blasphemous Rites | Hands | Cloth
